Home,Visitor,HomePoints,VisitorPoints
Iowa,Northwestern,20,0
Wisconsin,Ohio State,7,38
Illinois,Purdue,24,6
Penn State,Michigan State,28,7
Indiana,Nebraska,9,14
Maryland,Minnesota,10,52
Ohio State,Northwestern,52,3
Wisconsin,Illinois,23,24
Purdue,Iowa,20,26
Indiana,Maryland,34,28
Minnesota,Rutgers,42,7
Michigan,Penn State,21,28
Rutgers,Indiana,0,35
Maryland,Purdue,14,40
Michigan,Illinois,42,25
Michigan State,Wisconsin,0,38
Penn State,Iowa,17,12
Nebraska,Minnesota,7,34
Maryland,Rutgers,48,7
Iowa,Michigan,3,10
Purdue,Penn State,7,35
Illinois,Minnesota,17,40
Northwestern,Nebraska,10,13
Michigan State,Ohio State,10,34
